cycle,rOM,dOM,sOM
51,39.0,44.52000000000011,658.9399999999999
52,2.0,0.00999999999999999,41.480000000000004
52,21.099999999999998,40.91500000000002,235.71499999999997
52,39.0,40.92000000000006,647.985
53,2.0,0.00999999999999999,40.64
53,18.5,38.115000000000016,235.655
53,39.0,37.32000000000006,637.595
54,2.0,0.00999999999999999,39.8
54,15.9,35.315000000000026,235.59499999999997
54,39.0,33.720000000000056,627.3349999999999
55,2.0,0.00999999999999999,38.96
55,13.299999999999999,34.26500000000003,233.88500000000002
55,39.0,30.11999999999996,617.075
56,2.0,0.00999999999999999,38.120000000000005
56,12.0,31.96499999999999,232.02500000000003
56,39.0,26.51999999999996,606.8150000000002
57,2.0,0.00999999999999999,37.28
57,12.0,28.364999999999988,230.165
57,39.0,22.91999999999996,597.7199999999999
58,2.0,0.00999999999999999,36.44
58,12.0,24.764999999999986,228.305
58,39.0,20.46999999999996,588.0900000000001
59,2.0,0.00999999999999999,35.6
59,12.0,21.164999999999992,226.44499999999996
59,39.0,18.66999999999996,577.71
60,2.0,0.00999999999999999,34.76
60,12.0,17.56499999999999,224.585
60,39.0,16.86999999999996,567.3299999999998
0,1560.0,0.0,0.0
1,1522.3000000000006,0.29000000000000026,29.0
2,1446.9,27.840000000000018,64.66999999999996
3,1371.5,51.03999999999999,104.69
4,1296.1,74.24000000000002,144.70999999999998
5,1220.6999999999996,97.44,184.73000000000008
6,1149.2000000000003,116.73999999999994,224.75
7,1079.0000000000005,134.73999999999995,264.7699999999999
8,1003.6,158.69,304.0399999999999
9,945.0999999999999,162.92000000000002,345.25999999999976
10,872.2999999999997,181.32,388.4349999999999
11,802.1000000000001,192.42,433.3249999999998
12,731.9000000000002,213.2400000000001,468.7950000000001
13,664.3000000000001,236.63999999999996,500.89500000000015
14,592.7999999999998,259.34,535.525
15,539.5,269.13000000000005,569.7350000000001
16,499.2,262.44,605.9699999999998
17,453.69999999999993,250.84000000000006,646.1449999999999
18,409.49999999999994,235.97000000000003,684.4299999999996
19,364.0,220.93,724.03
20,321.1,202.84000000000003,763.7300000000002
21,278.20000000000005,188.89999999999995,800.6849999999998
22,244.39999999999998,175.60999999999999,835.5499999999997
23,209.29999999999998,172.39999999999998,853.0449999999995
24,184.6,161.22,867.2049999999997
25,150.8,164.04000000000002,877.3800000000001
26,130.0,158.33999999999997,887.92
27,109.2,148.3,895.7899999999998
28,85.8,144.14999999999998,902.8400000000005
29,57.2,151.09000000000003,905.2460000000001
30,39.0,150.38000000000002,903.3959999999998
31,39.0,130.57999999999998,899.6760000000006
32,39.0,110.78000000000003,896.2779999999997
33,39.0,92.38999999999999,891.6279999999998
34,39.0,78.22999999999999,882.9280000000006
35,39.0,66.5,871.6779999999998
36,39.0,57.500000000000014,857.5780000000002
37,39.0,49.370000000000026,843.0499999999995
38,39.0,42.83000000000002,827.3899999999995
39,39.0,37.58000000000002,810.38
40,39.0,33.980000000000025,791.7199999999999
41,39.0,30.38000000000001,773.4169999999995
42,39.0,26.78000000000001,755.1769999999999
43,39.0,23.18000000000001,736.9369999999998
44,39.0,19.58000000000001,718.6969999999999
45,39.0,15.979999999999992,700.4570000000001
46,39.0,12.379999999999992,682.2169999999995
47,39.0,8.77999999999999,664.1029999999997
48,39.0,5.179999999999993,648.7049999999997
49,39.0,1.5800000000000005,633.4049999999996
50,39.0,0.4700000000000003,615.8549999999997
51,39.0,0.4700000000000003,597.221
52,39.0,0.4700000000000003,578.7409999999995
53,39.0,0.4700000000000003,560.2609999999997
54,39.0,0.4700000000000003,541.7809999999998
55,39.0,0.4700000000000003,523.6509999999998
56,39.0,0.4700000000000003,505.5909999999998
57,39.0,0.4700000000000003,487.5309999999996
58,39.0,0.4700000000000003,469.70899999999983
59,39.0,0.4700000000000003,452.39799999999985
60,39.0,0.4700000000000003,435.77299999999974
0,480.0,0.0,0.0
0,1560.0,0.0,0.0
0,80.0,0.0,0.0
1,78.7,0.005,1.0
1,474.8,0.01999999999999999,4.0
1,1522.3000000000002,0.14500000000000005,29.0
2,76.1,0.955,2.23
2,464.40000000000003,3.82,8.92
2,1446.8999999999999,27.69499999999998,64.66999999999996
3,73.5,1.755,3.61
3,454.0,7.02,14.44
3,1371.5,50.89500000000001,104.69
4,70.9,2.555,4.99
4,443.59999999999997,10.22,19.96
4,1296.1,74.09500000000003,144.70999999999998
5,68.3,3.355,6.37
5,433.2,13.42,25.48
5,1220.6999999999998,97.295,184.73000000000008
6,65.7,4.155,7.75
6,426.7,12.719999999999999,31.0
6,1153.1000000000001,112.69500000000002,224.75
7,63.1,4.955,9.13
7,417.6,12.969999999999999,37.785000000000004
7,1081.6000000000004,129.995,267.2999999999999
8,60.5,5.755,10.51
8,407.2,16.62,42.434999999999995
8,1019.1999999999999,144.79499999999996,306.7299999999999
9,57.9,6.555,11.89
9,396.79999999999995,23.419999999999998,43.935
9,969.7999999999998,140.71499999999997,345.2399999999998
10,55.3,7.355,13.27
10,386.4,30.22,45.435
10,903.4999999999999,157.16499999999994,383.5499999999999
11,52.7,8.155,14.65
11,376.0,37.019999999999996,46.934999999999995
11,837.2,171.61999999999995,419.1749999999999
12,50.1,8.955,16.03
12,365.6,43.82000000000001,48.434999999999995
12,773.5000000000001,202.61999999999995,442.6450000000002
13,47.5,9.755,17.41
13,355.2,50.62000000000001,49.935
13,709.7999999999998,228.81999999999994,462.9950000000002
14,44.9,10.555,18.79
14,347.4,54.82000000000001,51.435
14,634.4,267.5699999999999,482.525
15,42.3,11.355,20.17
15,338.3,58.67,54.2
15,572.0000000000001,298.4699999999999,499.5050000000001
16,41.0,10.855,21.55
16,329.2,62.370000000000005,57.08
16,522.6,317.26999999999987,515.1999999999999
17,39.7,9.06,23.93
17,320.1,64.775,60.96
17,496.5999999999999,311.8349999999999,534.2250000000001
18,37.1,8.209999999999999,26.54
18,309.7,68.125,65.07000000000001
18,464.1,298.88499999999993,558.8849999999998
19,34.5,7.21,29.3
19,299.3,71.32499999999999,69.33
19,413.40000000000003,303.735,583.785
20,31.9,6.21,32.06
20,288.9,74.52499999999999,73.58999999999999
20,377.0,297.7349999999999,609.2750000000001
21,29.3,5.21,34.82
21,278.5,77.725,77.85
21,347.1,282.2849999999999,634.1450000000001
22,26.7,4.21,37.58
22,270.7,79.625,82.11
22,317.2,268.48499999999996,658.6500000000002
23,24.1,4.96,38.69
23,266.8,76.77999999999997,85.72
23,293.8,256.33499999999987,674.2899999999998
24,21.5,5.76,39.65
24,259.0,77.52999999999999,89.41000000000001
24,261.3,253.78499999999994,688.81
25,18.9,6.56,40.61
